BRONX CONDOMINIUM PROPERTY Boro-Block-Lot,BRONX CONDOMINIUM PROPERTY Condo Section,BRONX CONDOMINIUM PROPERTY Address,Borough,Postcode,Latitude,Longitude,Community Board,Council District,Census Tract,BIN,BBL,NTA,BRONX CONDOMINIUM PROPERTY Neighborhood,BRONX CONDOMINIUM PROPERTY Building Classification,BRONX CONDOMINIUM PROPERTY Total Units,BRONX CONDOMINIUM PROPERTY Year Built,BRONX CONDOMINIUM PROPERTY Gross SqFt,BRONX CONDOMINIUM PROPERTY Est. Gross Income,BRONX CONDOMINIUM PROPERTY Gross Income per SqFt,BRONX CONDOMINIUM PROPERTY Full Market Value,BRONX CONDOMINIUM PROPERTY Market Value per SqFt, COMPARABLE RENTAL 1 Boro-Block-Lot,COMPARABLE RENTAL 1 Address,COMPARABLE RENTAL 1  Neighborhood,COMPARABLE RENTAL 1  Building Classification,COMPARABLE RENTAL 1  Total Units,COMPARABLE RENTAL 1  Year Built,COMPARABLE RENTAL 1  Gross SqFt,COMPARABLE RENTAL 1  Est. Gross Income,COMPARABLE RENTAL 1  Gross Income per SqFt,COMPARABLE RENTAL 1 Full Market Value,COMPARABLE RENTAL 1  Market Value per SqFt,COMPARABLE RENTAL 1  Dist. from Coop in miles,COMPARABLE RENTAL 2  Boro-Block-Lot,COMPARABLE RENTAL 2  Address,COMPARABLE RENTAL 2  Neighborhood,COMPARABLE RENTAL 2  Building Classification,COMPARABLE RENTAL 2  Total Units,COMPARABLE RENTAL 2  Year Built,COMPARABLE RENTAL 2  Gross SqFt,COMPARABLE RENTAL 2  Est. Gross Income,COMPARABLE RENTAL 2  Gross Income per SqFt,COMPARABLE RENTAL 2  Full Market Value,COMPARABLE RENTAL 2  Market Value per SqFt,COMPARABLE RENTAL 2  Dist. from Coop in miles
2-05606-7502,56-R1,"{'latitude': '40.814060137279', 'longitude': '-73.821646875504', 'human_address': '{""address"": ""195 BALCOM AVENUE"", ""city"": ""Bronx"", ""state"": ""New York"", ""zip"": """"}'}",2,10465,40.81421,-73.821723,10,13,132,2090597,2056067502,Schuylerville-Throgs Neck-Edgewater Park                                   ,THROGS NECK,R2-WALK-UP,20,1997,19080,324360,17,1319994,69,2-05786-0240,"{'latitude': '40.884672613798', 'longitude': '-73.909349893762', 'human_address': '{""address"": ""3205 OXFORD AVENUE"", ""city"": ""Bronx"", ""state"": ""New York"", ""zip"": """"}'}",RIVERDALE,C1-WALK-UP,12,1985,6260,108560,17.34,442000,71,6.7,2-05798-0101,"{'latitude': '40.886877804886', 'longitude': '-73.908631585139', 'human_address': '{""address"": ""3615 OXFORD AVENUE"", ""city"": ""Bronx"", ""state"": ""New York"", ""zip"": """"}'}",RIVERDALE,C1-WALK-UP,15,1980,7550,143532,19.01,584000,77,6.8
2-03929-7501,23-R1,"{'latitude': '40.838927058597', 'longitude': '-73.861164029973', 'human_address': '{""address"": ""99 METROPOLITAN OVAL"", ""city"": ""Bronx"", ""state"": ""New York"", ""zip"": """"}'}",2,10462,40.838382,-73.860664,9,18,21602,2096606,2039377501,Parkchester                                                                ,PARKCHESTER,R4-ELEVATOR,128,1933,109764,1007633,9.18,3319981,30.2,2-03925-0018,"{'latitude': '40.839624421712', 'longitude': '-73.865901165801', 'human_address': '{""address"": ""1565 THIERIOT AVENUE"", ""city"": ""Bronx"", ""state"": ""New York"", ""zip"": """"}'}",PARKCHESTER,D1-ELEVATOR,120,1930,130500,1198097,9.18,3950000,30.3,0.45,2-03932-0050,"{'latitude': '40.834369260106', 'longitude': '-73.857194385368', 'human_address': '{""address"": ""2022 BENEDICT AVENUE"", ""city"": ""Bronx"", ""state"": ""New York"", ""zip"": """"}'}",PARKCHESTER,D1-ELEVATOR,92,1928,103284,902271,8.74,2770000,26.8,0.25
2-02703-7501,74-R1,"{'latitude': '40.822397655937', 'longitude': '-73.896298700637', 'human_address': '{""address"": ""950 WESTCHESTER AVENUE"", ""city"": ""Bronx"", ""state"": ""New York"", ""zip"": """"}'}",2,10459,40.822388,-73.896326,2,17,87,2114693,2027037501,Longwood                                                                   ,MORRISANIA/LONGWOOD,R4-ELEVATOR,111,2006,112935,1275036,11.29,4490000,39.8,2-02372-0041,"{'latitude': '40.825576999979', 'longitude': '-73.918448999722', 'human_address': '{""address"": ""3463 3 AVENUE"", ""city"": ""Bronx"", ""state"": ""New York"", ""zip"": """"}'}",MORRISANIA/LONGWOOD,D7-ELEVATOR,119,2005,144730,1550058,10.71,5240000,36.2,0.8,2-03797-0001,"{'latitude': '40.825576999979', 'longitude': '-73.918448999722', 'human_address': '{""address"": ""2001 BRUCKNER BOULEVARD"", ""city"": ""Bronx"", ""state"": ""New York"", ""zip"": """"}'}",CASTLE HILL/UNIONPORT,D3-ELEVATOR,118,1964,112507,1296917,11.53,4570000,40.6,2.2
2-03432-7501,33-R6,"{'latitude': '40.807219940817', 'longitude': '-73.854258663914', 'human_address': '{""address"": ""301 ADMIRAL LANE"", ""city"": ""Bronx"", ""state"": ""New York"", ""zip"": """"}'}",2,10473,40.807073,-73.854206,9,18,4,2099266,2034327501,Soundview-Castle Hill-Clason Point-Harding Park                            ,SOUNDVIEW,R2-WALK-UP,28,1989,34516,440079,12.75,1650000,47.8,2-03802-0028,"{'latitude': '40.831187938107', 'longitude': '-73.85635222471', 'human_address': '{""address"": ""2040 GLEASON AVENUE"", ""city"": ""Bronx"", ""state"": ""New York"", ""zip"": """"}'}",CASTLE HILL/UNIONPORT,C1-WALK-UP,33,1964,20971,279547,13.33,1050000,50,1.65,2-05371-0060,"{'latitude': '40.838890343941', 'longitude': '-73.835981548445', 'human_address': '{""address"": ""3080 TREMONT AVENUE"", ""city"": ""Bronx"", ""state"": ""New York"", ""zip"": """"}'}",SCHUYLERVILLE/PELHAM BAY,C9-WALK-UP,27,1962,16507,172550,10.45,583000,35.3,2.35
2-05780-7501,40-R1,"{'latitude': '40.88950389842', 'longitude': '-73.904451506606', 'human_address': '{""address"": ""3900 GREYSTONE AVENUE"", ""city"": ""Bronx"", ""state"": ""New York"", ""zip"": """"}'}",2,10463,40.889453,-73.904475,8,11,335,2084041,2057800940,North Riverdale-Fieldston-Riverdale                                        ,RIVERDALE,R4-ELEVATOR,78,1928,95061,1045671,11,3689993,38.8,2-03219-0055,"{'latitude': '40.863590585737', 'longitude': '-73.907486698741', 'human_address': '{""address"": ""2400 WEBB AVENUE"", ""city"": ""Bronx"", ""state"": ""New York"", ""zip"": """"}'}",KINGSBRIDGE HTS/UNIV HTS,D1-ELEVATOR,75,1963,79000,886375,11.22,3120000,39.5,1.65,2-05787-0137,"{'latitude': '40.883961568175', 'longitude': '-73.911511205264', 'human_address': '{""address"": ""3220 NETHERLAND AVENUE"", ""city"": ""Bronx"", ""state"": ""New York"", ""zip"": """"}'}",RIVERDALE,D1-ELEVATOR,85,1954,100498,1155727,11.5,4070000,40.5,0.45
2-04284-7501,70-R1,"{'latitude': '40.851280197433', 'longitude': '-73.867773653195', 'human_address': '{""address"": ""2040 WHITE PLAINS ROAD"", ""city"": ""Bronx"", ""state"": ""New York"", ""zip"": """"}'}",2,10462,40.851139,-73.867794,11,15,230,2114768,2042847501,Van Nest-Morris Park-Westchester Square                                    ,MORRIS PARK/VAN NEST,R9-CONDOPS,100,2005,108100,1061542,9.82,3590000,33.2,2-04253-0080,"{'latitude': '40.848752989602', 'longitude': '-73.868542246411', 'human_address': '{""address"": ""1975 BIRCHALL AVENUE"", ""city"": ""Bronx"", ""state"": ""New York"", ""zip"": """"}'}",MORRIS PARK/VAN NEST,D1-ELEVATOR,90,2002,87902,863246,9.82,2920000,33.2,0.25,2-04253-0084,"{'latitude': '40.848874545955', 'longitude': '-73.868133849088', 'human_address': '{""address"": ""678 SAGAMORE STREET"", ""city"": ""Bronx"", ""state"": ""New York"", ""zip"": """"}'}",MORRIS PARK/VAN NEST,D1-ELEVATOR,90,2002,82015,698346,8.51,2300000,28,0.25
2-03432-7501,33-R4,"{'latitude': '40.806775500111', 'longitude': '-73.852311904978', 'human_address': '{""address"": ""232 FLEET COURT"", ""city"": ""Bronx"", ""state"": ""New York"", ""zip"": """"}'}",2,10473,40.806972,-73.85214,9,18,4,2099281,2034327501,Soundview-Castle Hill-Clason Point-Harding Park                            ,SOUNDVIEW,R2-WALK-UP,18,1989,22199,283037,12.75,1059999,47.7,2-03802-0028,"{'latitude': '40.831187938107', 'longitude': '-73.85635222471', 'human_address': '{""address"": ""2040 GLEASON AVENUE"", ""city"": ""Bronx"", ""state"": ""New York"", ""zip"": """"}'}",CASTLE HILL/UNIONPORT,C1-WALK-UP,33,1964,20971,279547,13.33,1050000,50,1.65,2-05844-1935,"{'latitude': '40.902340245832', 'longitude': '-73.898609426903', 'human_address': '{""address"": ""5431 SYLVAN AVENUE"", ""city"": ""Bronx"", ""state"": ""New York"", ""zip"": """"}'}",RIVERDALE,C1-WALK-UP,24,1972,18756,236069,12.59,887000,47.3,7
2-03432-7501,33-R1,"{'latitude': '40.807682339437', 'longitude': '-73.853276902534', 'human_address': '{""address"": ""228 NEPTUNE COURT"", ""city"": ""Bronx"", ""state"": ""New York"", ""zip"": """"}'}",2,10473,40.807654,-73.853341,9,18,4,2099271,2034327501,Soundview-Castle Hill-Clason Point-Harding Park                            ,SOUNDVIEW,R2-WALK-UP,40,1989,47376,658526,13.9,2610009,55,2-05907-0348,"{'latitude': '40.888932645311', 'longitude': '-73.911592854676', 'human_address': '{""address"": ""3725 BLACKSTONE AVENUE"", ""city"": ""Bronx"", ""state"": ""New York"", ""zip"": """"}'}",RIVERDALE,D1-ELEVATOR,42,1968,41803,582915,13.94,2310000,55,6.4,2-05851-2105,"{'latitude': '40.825576999979', 'longitude': '-73.918448999722', 'human_address': '{""address"": ""6425 BROADWAY"", ""city"": ""Bronx"", ""state"": ""New York"", ""zip"": """"}'}",RIVERDALE,D3-ELEVATOR,55,1974,48100,746149,15.51,3030000,63,7
2-05723-7501,84-R1,"{'latitude': '40.877977567321', 'longitude': '-73.919247710483', 'human_address': '{""address"": ""2287 JOHNSON AVENUE"", ""city"": ""Bronx"", ""state"": ""New York"", ""zip"": """"}'}",2,10463,40.877629,-73.91905,8,11,29302,2083257,2057237501,Spuyten Duyvil-Kingsbridge                                                 ,RIVERDALE,R4-ELEVATOR,73,1983,99590,1195080,12,4209998,42.3,2-05787-0137,"{'latitude': '40.883961568175', 'longitude': '-73.911511205264', 'human_address': '{""address"": ""3220 NETHERLAND AVENUE"", ""city"": ""Bronx"", ""state"": ""New York"", ""zip"": """"}'}",RIVERDALE,D1-ELEVATOR,85,1954,100498,1155727,11.5,4070000,40.5,0.6,2-05904-0267,"{'latitude': '40.889579457198', 'longitude': '-73.911174785847', 'human_address': '{""address"": ""600 239 STREET"", ""city"": ""Bronx"", ""state"": ""New York"", ""zip"": """"}'}",RIVERDALE,D1-ELEVATOR,90,1956,98681,1187061,12.03,4180000,42.4,0.85
2-04307-7501,27-R1,"{'latitude': '40.855486860448', 'longitude': '-73.855153367389', 'human_address': '{""address"": ""1144 LYDIG AVENUE"", ""city"": ""Bronx"", ""state"": ""New York"", ""zip"": """"}'}",2,10461,40.855549,-73.855086,11,13,288,2087163,2043077501,Pelham Parkway                                                             ,PELHAM PARKWAY SOUTH,R4-ELEVATOR,48,1964,56000,649600,11.6,2290010,40.9,2-04322-0043,"{'latitude': '40.856133797363', 'longitude': '-73.862912097751', 'human_address': '{""address"": ""2179 MATTHEWS AVENUE"", ""city"": ""Bronx"", ""state"": ""New York"", ""zip"": """"}'}",PELHAM PARKWAY SOUTH,C9-WALK-UP,48,1948,35960,418199,11.63,1470000,40.9,0.45,2-04324-0001,"{'latitude': '40.855072774713', 'longitude': '-73.861940377721', 'human_address': '{""address"": ""2126 MULINER AVENUE"", ""city"": ""Bronx"", ""state"": ""New York"", ""zip"": """"}'}",PELHAM PARKWAY SOUTH,C9-WALK-UP,38,1950,28979,364290,12.57,1370000,47.3,0.35
2-03083-7501,90-R1,"{'latitude': '40.849112484231', 'longitude': '-73.888021553165', 'human_address': '{""address"": ""2135 CROTONA AVENUE"", ""city"": ""Bronx"", ""state"": ""New York"", ""zip"": """"}'}",2,10457,40.849226,-73.887801,6,15,373,2115776,2030837501,East Tremont                                                               ,EAST TREMONT,R2-WALK-UP,16,2006,14200,284000,20,1269992,89,2-05786-0240,"{'latitude': '40.884672613798', 'longitude': '-73.909349893762', 'human_address': '{""address"": ""3205 OXFORD AVENUE"", ""city"": ""Bronx"", ""state"": ""New York"", ""zip"": """"}'}",RIVERDALE,C1-WALK-UP,12,1985,6260,108560,17.34,442000,71,2.65,2-05798-0101,"{'latitude': '40.886877804886', 'longitude': '-73.908631585139', 'human_address': '{""address"": ""3615 OXFORD AVENUE"", ""city"": ""Bronx"", ""state"": ""New York"", ""zip"": """"}'}",RIVERDALE,C1-WALK-UP,15,1980,7550,143532,19.01,584000,77,2.8
2-04668-7501,76-R1,"{'latitude': '40.884965532286', 'longitude': '-73.862027346087', 'human_address': '{""address"": ""724 221 STREET"", ""city"": ""Bronx"", ""state"": ""New York"", ""zip"": """"}'}",2,10467,40.884683,-73.861109,12,12,396,2114032,2046687501, Williamsbridge-Olinville,WILLIAMSBRIDGE,R2-WALK-UP,24,2005,29320,348686,11.89,1230001,42,2-04753-0029,"{'latitude': '40.877389917419', 'longitude': '-73.840619187159', 'human_address': '{""address"": ""3333 BRUNER AVENUE"", ""city"": ""Bronx"", ""state"": ""New York"", ""zip"": """"}'}",BAYCHESTER,D1-ELEVATOR,23,2000,30000,354600,11.82,1250000,41.7,1.15,2-05047-0006,"{'latitude': '40.897127541215', 'longitude': '-73.854169824041', 'human_address': '{""address"": ""4360 FURMAN AVENUE"", ""city"": ""Bronx"", ""state"": ""New York"", ""zip"": """"}'}",WAKEFIELD,C1-WALK-UP,27,1931,26280,258624,9.84,874000,33.3,1
2-04163-7501,12-R1,"{'latitude': '40.84569734589', 'longitude': '-73.832677608421', 'human_address': '{""address"": ""1725 EDISON AVENUE"", ""city"": ""Bronx"", ""state"": ""New York"", ""zip"": """"}'}",2,10461,40.845857,-73.832637,10,13,26602,2045932,2041637501,Pelham Bay-Country Club-City Island                                        ,SCHUYLERVILLE/PELHAM BAY,R4-ELEVATOR,35,1965,27316,341450,12.5,1280009,46.9,2-04249-0042,"{'latitude': '40.853632383399', 'longitude': '-73.827409685429', 'human_address': '{""address"": ""2023 BURR AVENUE"", ""city"": ""Bronx"", ""state"": ""New York"", ""zip"": """"}'}",SCHUYLERVILLE/PELHAM BAY,D1-ELEVATOR,37,1963,31125,387617,12.45,1460000,46.9,0.6,,,,,,,,,,,,
2-05604-7501,16-R1,"{'latitude': '40.813597200421', 'longitude': '-73.821724941795', 'human_address': '{""address"": ""2718 SCHURZ AVENUE"", ""city"": ""Bronx"", ""state"": ""New York"", ""zip"": """"}'}",2,10465,40.813601,-73.821775,10,13,132,2096854,2056047501,Schuylerville-Throgs Neck-Edgewater Park                                   ,THROGS NECK,R4-ELEVATOR,52,1984,63416,982948,15.5,4000024,63,2-03142-0200,"{'latitude': '40.848882305038', 'longitude': '-73.900406021079', 'human_address': '{""address"": ""1937 WEBSTER AVENUE"", ""city"": ""Bronx"", ""state"": ""New York"", ""zip"": """"}'}",FORDHAM,D1-ELEVATOR,99,1972,94682,1728310,18.25,4880000,52,4.85,2-05851-2105,"{'latitude': '40.825576999979', 'longitude': '-73.918448999722', 'human_address': '{""address"": ""6425 BROADWAY"", ""city"": ""Bronx"", ""state"": ""New York"", ""zip"": """"}'}",RIVERDALE,D3-ELEVATOR,55,1974,48100,746149,15.51,3030000,63,7.4
2-05771-7501,41-R1,"{'latitude': '40.886850149315', 'longitude': '-73.906501602504', 'human_address': '{""address"": ""3636 FIELDSTON ROAD"", ""city"": ""Bronx"", ""state"": ""New York"", ""zip"": """"}'}",2,10463,40.888148,-73.906021,8,11,295,2083983,2057717501,Spuyten Duyvil-Kingsbridge                                                 ,RIVERDALE,R9-CONDOPS,106,1962,132000,1283040,9.72,4340000,32.9,2-05732-0924,"{'latitude': '40.825576999979', 'longitude': '-73.918448999722', 'human_address': '{""address"": ""2700 HENRY HUDSON PARKWAY"", ""city"": ""Bronx"", ""state"": ""New York"", ""zip"": """"}'}",RIVERDALE,D1-ELEVATOR,78,1955,108955,1108732,10.18,3750000,34.4,0.6,2-05798-0086,"{'latitude': '40.887904997599', 'longitude': '-73.909348380681', 'human_address': '{""address"": ""3640 JOHNSON AVENUE"", ""city"": ""Bronx"", ""state"": ""New York"", ""zip"": """"}'}",RIVERDALE,D1-ELEVATOR,84,1954,120650,1097204,9.09,3620000,30,0.15
2-02742-7501,72-R1,"{'latitude': '40.822104510466', 'longitude': '-73.890364889052', 'human_address': '{""address"": ""951 HOE AVENUE"", ""city"": ""Bronx"", ""state"": ""New York"", ""zip"": """"}'}",2,10459,40.822088,-73.89034,2,17,119,2113353,2027427501,Hunts Point                                                                ,MORRISANIA/LONGWOOD,R9-CONDOPS,300,2005,279904,3078944,11,10900000,38.9,2-02406-0021,"{'latitude': '40.823241597919', 'longitude': '-73.914391183117', 'human_address': '{""address"": ""827 MELROSE AVENUE"", ""city"": ""Bronx"", ""state"": ""New York"", ""zip"": """"}'}",MELROSE/CONCOURSE,D1-ELEVATOR,80,2003,66000,739399,11.2,2090000,31.7,1.3,2-02386-0144,"{'latitude': '40.825576999979', 'longitude': '-73.918448999722', 'human_address': '{""address"": ""1011 WASHINGTON AVENUE"", ""city"": ""Bronx"", ""state"": ""New York"", ""zip"": """"}'}",MORRISANIA/LONGWOOD,D1-ELEVATOR,136,2004,126284,1262238,10,4270000,33.8,1.05
2-03318-7501,48-R1,"{'latitude': '40.870134970336', 'longitude': '-73.892610472518', 'human_address': '{""address"": ""2805A CRESTON AVENUE"", ""city"": ""Bronx"", ""state"": ""New York"", ""zip"": """"}'}",2,10468,40.870197,-73.892502,7,14,40303,2097012,2033187501,Van Cortlandt Village                                                      ,BEDFORD PARK/NORWOOD,R2-WALK-UP,18,1993,16638,207309,12.46,778995,46.8,2-03296-0047,"{'latitude': '40.869085621621', 'longitude': '-73.887078980251', 'human_address': '{""address"": ""2875 BAINBRIDGE AVENUE"", ""city"": ""Bronx"", ""state"": ""New York"", ""zip"": """"}'}",BEDFORD PARK/NORWOOD,D1-ELEVATOR,38,1965,31133,426093,13.69,1690000,54,0.3,2-03319-0113,"{'latitude': '40.825576999979', 'longitude': '-73.918448999722', 'human_address': '{""address"": ""2871 GRAND"", ""city"": ""Bronx"", ""state"": ""New York"", ""zip"": """"}'}",BEDFORD PARK/NORWOOD,C1-WALK-UP,21,1916,20250,275559,13.61,1090000,54,0.2
2-05904-7501,63-R1,"{'latitude': '40.889232471884', 'longitude': '-73.911487178489', 'human_address': '{""address"": ""3800 BLACKSTONE AVENUE"", ""city"": ""Bronx"", ""state"": ""New York"", ""zip"": """"}'}",2,10463,40.889239,-73.911513,8,11,30701,2116335,2059047501,North Riverdale-Fieldston-Riverdale                                        ,RIVERDALE,R4-ELEVATOR,12,2004,20280,314340,15.5,1280002,63,2-03118-0036,"{'latitude': '40.844927295928', 'longitude': '-73.884005635235', 'human_address': '{""address"": ""2079 MOHEGAN AVENUE"", ""city"": ""Bronx"", ""state"": ""New York"", ""zip"": """"}'}",EAST TREMONT,D1-ELEVATOR,21,1925,19265,273276,14.19,1080000,56,3.3,2-03123-0046,"{'latitude': '40.845230393445', 'longitude': '-73.883657649539', 'human_address': '{""address"": ""2090 MOHEGAN AVENUE"", ""city"": ""Bronx"", ""state"": ""New York"", ""zip"": """"}'}",EAST TREMONT,D1-ELEVATOR,24,1925,22580,330006,14.61,1310000,58,3.35
2-05529-7501,83-R1,"{'latitude': '40.809371426104', 'longitude': '-73.802555644605', 'human_address': '{""address"": ""24 PENNYFIELD AVENUE"", ""city"": ""Bronx"", ""state"": ""New York"", ""zip"": """"}'}",2,10465,40.809437,-73.802793,10,13,118,2124419,2055297501,Schuylerville-Throgs Neck-Edgewater Park                                   ,THROGS NECK,R2-WALK-UP,15,2000,12624,170424,13.5,641001,51,2-03802-0028,"{'latitude': '40.831187938107', 'longitude': '-73.85635222471', 'human_address': '{""address"": ""2040 GLEASON AVENUE"", ""city"": ""Bronx"", ""state"": ""New York"", ""zip"": """"}'}",CASTLE HILL/UNIONPORT,C1-WALK-UP,33,1964,20971,279547,13.33,1050000,50,3.1,2-05430-0052,"{'latitude': '40.825576999979', 'longitude': '-73.918448999722', 'human_address': '{""address"": ""835 THROGS NECK"", ""city"": ""Bronx"", ""state"": ""New York"", ""zip"": """"}'}",THROGS NECK,C1-WALK-UP,14,1989,8792,84900,9.66,287000,32.6,1.6
2-02748-7501,46-R1,"{'latitude': '40.823510926478', 'longitude': '-73.889483789199', 'human_address': '{""address"": ""1010 FAILE STREET"", ""city"": ""Bronx"", ""state"": ""New York"", ""zip"": """"}'}",2,10459,40.823682,-73.889517,2,17,119,2006083,2027487501,Hunts Point                                                                ,MORRISANIA/LONGWOOD,R2-WALK-UP,78,1930,93600,1029600,11,3639447,38.9,2-02427-0001,"{'latitude': '40.832463162195', 'longitude': '-73.910076878871', 'human_address': '{""address"": ""391 168 STREET"", ""city"": ""Bronx"", ""state"": ""New York"", ""zip"": """"}'}",MELROSE/CONCOURSE,C7-WALK-UP,16,1923,11055,116955,10.58,395000,35.7,1.2,2-02457-0044,"{'latitude': '40.825576999979', 'longitude': '-73.918448999722', 'human_address': '{""address"": ""1278 GRAND"", ""city"": ""Bronx"", ""state"": ""New York"", ""zip"": """"}'}",MELROSE/CONCOURSE,C7-WALK-UP,51,1928,48000,492463,10.26,1660000,34.6,1.55
2-05725-7501,11-R1,"{'latitude': '40.825576999979', 'longitude': '-73.918448999722', 'human_address': '{""address"": ""2600 HENRY HUDSON PARKWAY"", ""city"": ""Bronx"", ""state"": ""New York"", ""zip"": """"}'}",2,10463,40.880845,-73.917535,8,11,29302,2083283,2057257501,Spuyten Duyvil-Kingsbridge                                                 ,RIVERDALE,R4-ELEVATOR,24,1941,35000,460250,13.15,1730004,49.4,2-05716-0287,"{'latitude': '40.880092839955', 'longitude': '-73.92234413928', 'human_address': '{""address"": ""2475 PALISADE AVENUE"", ""city"": ""Bronx"", ""state"": ""New York"", ""zip"": """"}'}",RIVERDALE,D1-ELEVATOR,25,1932,31098,472245,15.19,1920000,62,0.3,2-05781-1100,"{'latitude': '40.825576999979', 'longitude': '-73.918448999722', 'human_address': '{""address"": ""3900 HENRY HUDSON PARKWAY"", ""city"": ""Bronx"", ""state"": ""New York"", ""zip"": """"}'}",RIVERDALE,D1-ELEVATOR,37,1928,37962,396156,10.44,1340000,35.3,0.8
2-03929-7501,23-R2,"{'latitude': '40.83691693606', 'longitude': '-73.861467982661', 'human_address': '{""address"": ""1469 WEST AVENUE"", ""city"": ""Bronx"", ""state"": ""New York"", ""zip"": """"}'}",2,10462,40.836939,-73.861448,9,18,21602,2096629,2039377501,Parkchester                                                                ,PARKCHESTER,R4-ELEVATOR,2121,1933,1867373,15910017,8.52,52400174,28.1,2-03925-0018,"{'latitude': '40.839624421712', 'longitude': '-73.865901165801', 'human_address': '{""address"": ""1565 THIERIOT AVENUE"", ""city"": ""Bronx"", ""state"": ""New York"", ""zip"": """"}'}",PARKCHESTER,D1-ELEVATOR,120,1930,130500,1198097,9.18,3950000,30.3,0.25,2-04286-0022,"{'latitude': '40.853699684387', 'longitude': '-73.869138050698', 'human_address': '{""address"": ""2100 BRONX PARK"", ""city"": ""Bronx"", ""state"": ""New York"", ""zip"": """"}'}",PELHAM PARKWAY SOUTH,D1-ELEVATOR,157,1929,168990,1651470,9.77,5580000,33,1.2
2-03324-7501,36-R1,"{'latitude': '40.881832610139', 'longitude': '-73.879801951136', 'human_address': '{""address"": ""75 GUN HILL ROAD"", ""city"": ""Bronx"", ""state"": ""New York"", ""zip"": """"}'}",2,10467,40.881827,-73.879833,7,11,431,2017815,2033280128,Norwood                                                                    ,BEDFORD PARK/NORWOOD,R9-CONDOPS,87,1932,87502,988772,11.3,2627980,30,2-03156-0009,"{'latitude': '40.825576999979', 'longitude': '-73.918448999722', 'human_address': '{""address"": ""2070 GRAND"", ""city"": ""Bronx"", ""state"": ""New York"", ""zip"": """"}'}",FORDHAM,D7-ELEVATOR,93,1925,87156,884894,10.15,2990000,34.3,2.25,2-03271-0125,"{'latitude': '40.884737507079', 'longitude': '-73.898873689852', 'human_address': '{""address"": ""3815 PUTNAM AVENUE"", ""city"": ""Bronx"", ""state"": ""New York"", ""zip"": """"}'}",KINGSBRIDGE/JEROME PARK,D7-ELEVATOR,92,2000,111620,2321696,20.8,10400000,93,0.85
2-05777-7501,79-R1,"{'latitude': '40.887539907691', 'longitude': '-73.903736838364', 'human_address': '{""address"": ""3816 WALDO AVENUE"", ""city"": ""Bronx"", ""state"": ""New York"", ""zip"": """"}'}",2,10463,40.887742,-73.90362,8,11,285,2084024,2057777501,Spuyten Duyvil-Kingsbridge                                                 ,KINGSBRIDGE/JEROME PARK,R4-ELEVATOR,25,2004,59005,796567,13.5,2989992,51,2-03328-0108,"{'latitude': '40.882201492532', 'longitude': '-73.87814692676', 'human_address': '{""address"": ""3555 BAINBRIDGE AVENUE"", ""city"": ""Bronx"", ""state"": ""New York"", ""zip"": """"}'}",BEDFORD PARK/NORWOOD,D7-ELEVATOR,68,1959,62000,807536,13.02,3040000,49,1.35,2-04332-0005,"{'latitude': '40.825576999979', 'longitude': '-73.918448999722', 'human_address': '{""address"": ""1130 PELHAM PARKWAY"", ""city"": ""Bronx"", ""state"": ""New York"", ""zip"": """"}'}",PELHAM PARKWAY SOUTH,D7-ELEVATOR,58,1956,51600,705172,13.67,2800000,54,3.25
